"Review_Date","Average_Score","Hotel_Name","Reviewer_Nationality","Negative_Review","Review_Total_Negative_Word_Counts","Total_Number_of_Reviews","Positive_Review","Review_Total_Positive_Word_Counts","Total_Number_of_Reviews_Reviewer_Has_Given","Reviewer_Score"
"10/27/2016",8.1,"Durrants Hotel","United Kingdom","At least 50 too expensive for what it offered which besides location frankly wasn t very much The hotel is very dated and I don t mean in a quaint way it really could do with a major makeover I paid 155 had no Tea Coffee making facilities no breakfast and a shower that either dribbled or poured depending where the settings were placed I failed to find a setting for spray Overall very disappointed but at least as I left the Hotel and headed for the Underground a came across Bills Caf where I had an excellent breakfast for half the price The Durrant would have expected",110,1411,"It was well located for Baker Street Station",10,22,5
"9/6/2015",7.5,"Hilton London Metropole","Australia","My bathroom was not clean and cabinets were falling apart Thr location overall was a bit intimidating",19,6977,"The lobby was nice and staff were friendly Transport was convenient too",14,1,5
"5/13/2016",7.8,"Millennium Gloucester Hotel London","Saudi Arabia","No Negative",0,5726,"The location I been staying in this hotel more than 10 times we like it only because of location and the staff but last time we face badly due the room no air conditioning very hat",37,2,6.3
"4/11/2016",8.3,"Holiday Inn London Wembley","United Kingdom","No Negative",0,3469,"Perfect position for see arena",6,15,7.5
"11/16/2015",8.4,"Best Western Madison Hotel","Turkey","The breakfast room is too small for the hotel guests Especially on weekends",15,2189,"Very close the Central Station Nice and friendly staff Large and comfortable rooms",15,119,7.9
"4/21/2017",8.1,"My Bloomsbury","Australia","The hotel is very basic but when you are in London there is so much to do and see so all you want is a comfortable bed",29,1161,"The staff were very friendly and helpful I felt very safe in the neighbourhood The room was clean and comfortable I loved all the mini bar items",29,5,9.2
"12/12/2016",8.9,"Courthouse Hotel Shoreditch","United Kingdom","Nothing",2,477,"Room gorgeous",3,1,10
"3/16/2017",8.2,"Inntel Hotels Amsterdam Centre","Egypt","The staff are treating all the guests as if we are prisoners I love to feel safe but not on the expenses of feeling welcomed",27,3342,"Great location clean rooms very comfort",8,12,9.2
"9/3/2016",8.6,"Dorsett Shepherds Bush","United Kingdom","Frosty faced female on reception 31 8 16 2 pm Only 1 cup in a double room",19,2890,"Bed was super comfortable good shower room nice Nice hotel by the look just one night stay so hard to give a full review",26,2,7.1
"7/7/2016",9,"Saint SHERMIN bed breakfast champagne","France","No Negative",0,651,"The room was very clean and beautiful well decorated The staff was gentle",14,16,9.6
"10/26/2015",8.9,"Majestic Hotel Spa Barcelona GL","United Arab Emirates","No Negative",0,1769,"I really loved the welcoming from everyone in the hotel from the first day to us to the last moment for us on the hotel and I d like really to thank Mr Antonio RODRIGUEZ for his welcoming and his fully support I really would like to thank everyone in Majestic hotel for making my HONEY MOON more than great Thank you everyone and hope to see you soon wish you all the best Majestic Family",78,8,10
"3/8/2016",7.3,"Best Western Plus Hotel Blue Square","Macedonia","Not opening windows",4,3161,"Nice staff comfortably rooms and beds clean good location nearby have large market",15,2,8.8
"5/3/2016",9.1,"M by Montcalm Shoreditch London Tech City","United Kingdom","Everything was great",4,4802,"The building was well maintained",6,1,10
"9/3/2015",9.2,"ME Milan Il Duca","Ireland","No Negative",0,683,"We stayed as part of our honeymoon trip and the hotel kindly upgraded our booking and left us some bubbly and treats in our room great attention to detail Staff were very friendly and attentive",37,2,9.2
"4/5/2016",9,"Sanderson A Morgans Hotel","United Kingdom","It was all great",5,886,"Staff amazing Bar amazing Room amazing",7,27,10
"9/6/2015",9.4,"The Beaumont Hotel","United Kingdom","Nothing",2,334,"Location perfect",3,3,10
"1/3/2017",8.2,"My Chelsea","Sweden","The bed was a bit too soft",9,1003,"Clean nice and lots of space in the room AND bathroom which is not always common in London hotels We found the room too cold and got another room at once without any problem So very helpful staff Great breakfast too",43,18,9.6
"3/29/2016",8.8,"TWO Hotel Barcelona by Axel 4 Sup Adults Only","France","No Negative",0,2336,"belles prestations",3,11,7.9
"11/25/2016",8.7,"The Bailey s Hotel London","Thailand","The front reception was available only one person with many people waiting Thing gone wrong a lot with unacceptable services",21,2485,"Clean toilet Quite close to the tube but a bit far from the main tourist spot",17,13,4.2
"1/10/2017",9,"COQ Hotel Paris","Australia","No Negative",0,1682,"Location was excellent",4,4,10
"8/9/2015",8.8,"The Montcalm At Brewery London City","United Kingdom","We were given a handicaped room on arrival knowing well that we are fully abled people Was very disappointed Although we were moved to another room after our complaint The bathtub wasn t cleaned very often and there was no toilet brush to clean up when necessary We experienced difficulty with the light switch plus the Lightning on the floor is unnecessary anoying The fridge was hot all the time and stunk when opened Bedroom was stuffy and windows permanently locked",83,2617,"The friendly staffs from reception to cleaners Location was perfect Right in between the Barbican Station Moorgate",19,9,8.3
"8/16/2015",8.5,"K K Hotel George","Hong Kong","The room is a bit old",8,1831,"Very convinence location breakfast is perfect with freshly baked bread",12,5,8.3
"9/25/2016",8.6,"Petit Palace Museum","Malaysia","The odd moment when the staff walked into my room without knocking having that was the only unpleasant finding",20,1594,"Service staff location and overall ambience",8,14,8.3
"1/2/2017",8.4,"Park Plaza County Hall London","United Kingdom","No Negative",0,6117,NA,2,3,10
"2/20/2016",8.3,"Thistle Euston","United Kingdom","not much",3,2474,"Everything",3,3,10
"12/22/2015",8.2,"Rainers Hotel Vienna","Hungary","The room isn t that big the parking is very expensive",13,1852,"The stuff are very nice and good breakfast easily you can catch the downtown in 15 20minutes",18,18,6.7
"3/12/2017",6.9,"Gainsborough Hotel","United Kingdom","The room was very small for a triple room and incredibly stuffy The bathroom didn t even have a shower only a hand shower and the bathroom was also incredibly small I would not stay here again",38,1884,"Location",2,11,4.6
"4/22/2017",8.5,"Uptown Palace","Romania","The bathroom had a bad smell The hotel restaurant not so good and pretty expensive",16,2901,"No Positive",0,2,5.4
"12/8/2015",7.8,"Millennium Hotel London Mayfair","United Kingdom","maybe the pillows",5,3117,"felt very comfy like home",6,8,10
"12/5/2015",8.6,"Pestana Chelsea Bridge Hotel Spa","United Kingdom","Breakfast was a bit limited",6,1686,"Great rooms",3,7,8.3
"4/14/2017",8,"Hotel SB Icaria Barcelona","United Kingdom","Bar shut around midnight",6,3633,"Hotel was spotless staff helpful Always taxis available outside hotel Area is qite residential but Rambla de Poblenou is only a 10 min walk away Plenty bars and restaurants but quieter than the main Ramblas",36,2,9.2
"7/6/2016",7.4,"Hotel Mentana","Romania","Some staff don t speak English very well but you can manage to understand each other Indeed the breakfast may not be very diverse but the contents are very good and served in a nice area",38,974,"Comfortable room clean great location very efficient visit for tourism and I imagine business The square in front of the hotel has a small outdoor bar with a terrace that is great for an evening out meeting friendly people",41,5,9.6
"8/7/2015",7,"Park Lane Mews Hotel","Saudi Arabia","Old and unclean furniture",5,2061,"Location",2,13,4.2
"11/7/2016",7.5,"Mercure London Kensington Hotel","United Kingdom","Bed very soft but that just personal preference",9,1016,"Room was perfect space and bathroom Walking distance from Earl s Court station and Hyde park is just a 20min straight walk The hotel is small but has everything you need for a stay apart from a restaurant they offer light snack but there are plenty of restaurant down the road pub restaurants chains",56,1,9.6
"7/7/2016",7.4,"Seraphine Kensington Gardens Hotel","United Kingdom","The street noise Not so clean room and entrance staircase a bit of tidying would be good",19,597,"Good location near to the shops restaurants and tube friendly staff",12,1,7.5
"8/3/2017",8.3,"Fleming s Selection Hotel Wien City","Germany","The bed cover comforter was not replaced We had to put a note asking to replace it For a 5 star hotel with very expensive per night everything should be replaced cleaned everyday If they ll say to save economize then lower the rate for the 2nd day or those days where the sheets aren t replaced It would make sense The breakfast per person is 20 Euros which is too expensive especially when done everyday We tried only once just to check what they re offering But everything is expensive in Vienna The parking We had to pay 24 Euros per night In the Parking Garage s website the per day is 18 Euros but because we stayed in the hotel the payment was different which is 24 which is ridiculous",134,3672,"That the mini bar is free and always refilled everyday The room is huge with the ceilings too high Those who are claustrophobic will have no problem There are two lifts Easy to go to room and go out of the hotel Shower is in the room Better for couples but not for friends and others sharing one room as you can see the person taking a bath Toilet is in a separate room really nice and clean Loved the bed Near the Rathaus train station",87,5,8.8
"6/24/2016",8.6,"DoubleTree by Hilton London Islington","United Kingdom","Parking fee",3,2277,"Central",2,9,8.8
"5/15/2016",9.3,"Room Mate Giulia","Australia","They put us in a room overlooking all the garbage The smell was awful like being in a sewer It would be horrendous in the hight of summer Getting back to the room was really unpleasant because of it Was terrible with windows closed and horrendous with windows open Couldn t spend more time here than necessary due to the smell in our room as such didn t get to utilise the amenities I don t know what the interior designer was thinking The interiors in the actual rooms is dreadful Green and orange I know that retro is trendy but this is awful at best Trying too hard to be different here and haven t pulled it off I would suggest requesting a room not overlooking the bins if you stay here A great hotel but ruined by our stinky room",144,2011,"Staff were great and no better location around for central Milan Breakfast great and funky interiors for main lobby area and dining area It s actually a great hotel just ruined by the room we were in",39,9,5.4
"2/22/2016",8.9,"Novotel London Wembley","United Kingdom","I think the cost of the breakfast could be much cheaper",13,2924,"Room was lovely and comfortable clean and spacious",9,9,7.9
"1/21/2016",8.8,"Room Mate Aitana","United Kingdom","Would have liked a pool or spa facilities",9,4097,"Excellent staff and service",5,2,9.6
"7/14/2016",8.5,"The Mandeville Hotel","United Arab Emirates","Some rums were too small",6,2300,"Everything were grate",4,3,9.2
"6/24/2017",7.1,"Britannia International Hotel Canary Wharf","United Kingdom","the bar staff didnt seem to care at all that we were waiting and just stood talking amongst theirselves We arrived on a day where the temp was close to 30 degrees entered our room to find no air con and no windows the bed was very uncomfortable and pillows likewise",52,9086,"liked the location and the reception staff were friendly and helpful",12,2,6.3
"6/17/2017",8.5,"Pestana Arena Barcelona","Austria","No Negative",0,904,"Nice and clean hotel with comfy bed Close to Plaza Espana there are shops reataurants bars fast food nearby Sauna is nice however a relax room would be great",31,1,8.8
"6/20/2017",7.1,"Britannia International Hotel Canary Wharf","United Kingdom","Dusty windows",3,9086,"Comfortable bed air con room service location to o2",10,1,7.9
"1/24/2016",9.1,"M by Montcalm Shoreditch London Tech City","United Kingdom","No Negative",0,4802,"Great customer service",4,1,10
"8/23/2016",7.9,"Best Western Palm Hotel","United Kingdom","We had to be upgraded to a bigger room as unfortunately the beds where too small in length for my partner who is over 6ft I am 5ft5 and my feet where touching the end We where very pleased with how great the staff where in resolving this but when it came to bed time and we lay on the bed it was essentially two singles pushed together and the crack in the middle was very sharp and hard resulting in us both having to squeeze into the corner of one half",94,2037,"Staff where very friendly and efficient Bathroom and shower where lovely",13,1,6.7
"7/29/2016",8.4,"Arbor Hyde Park","United Kingdom","Breakfast was ill equipped for anything other than continental even though they offered cooked it was not available when we ordered and had to leave without as food served was hard cooked poached eggs after a very long wait and NO bacon available Should not offer cooked if not available",52,2140,"Room whilst tiny was perfectly adequate Front of house staff very nice and helpful It breakfast staff lacking in communication skills",23,4,6.7
"6/28/2016",7,"Park Lane Mews Hotel","United Kingdom","Staff said everything right but it was unconvincing No eye contact only responded to direct questions Aptitude fine attitude needs work",23,2061,"Location",2,1,7.1
"1/11/2016",7.8,"Millennium Gloucester Hotel London","United Kingdom","No Negative",0,5726,"Amazing location next to the tube and lovely room which was great value for money",17,7,8.8
"10/11/2015",9.1,"M by Montcalm Shoreditch London Tech City","United Kingdom","TV tech not very intuitive and no iPod iPhone doc for playing your own music Minor annoyances rather than a big issue",24,4802,"In house cocktail bar is amazing",8,2,9.2
"3/27/2016",8.1,"Strand Palace Hotel","United Kingdom","Size of room deal said breakfast but when booked refused breakfast",12,9568,"Location",2,6,5.8
"8/2/2016",8.4,"The May Fair Hotel","United Kingdom","This hotel is tacky and really doesn t compete with other 5 star hotels in London The rooms are basic and plain the bar is like a trashy night club and generally this is not what is expected from a hotel of this class For the money there is better available",53,1994,"Location is good",4,2,6.7
"5/3/2016",8.2,"Holiday Inn London Bloomsbury","United Kingdom","No body wash in the bathroom",8,2995,"The beds were super comfy and I liked the choice of pillows Great that it has a car park close by",22,1,8.3
"10/19/2016",9.1,"Hotel V Fizeaustraat","Turkey","Nothing",3,1708,"Everything was great very cosy hotel concept very friendly stuffs delicious and sufficient breakfast super cool hotel restaurant and bar concept highly recommend",25,10,9.6
"4/25/2017",9.2,"Hotel Berna","United Kingdom","Not a lot",5,4017,"Very helpful staff good breakfast choices reasonably priced",10,3,8.8
"11/12/2015",8.5,"Hotel de France Wien","France","lettle noise of ventilation in wc",7,5177,"location service and staff",5,13,8.8
"2/22/2017",7.7,"Grand Royale London Hyde Park","United States of America","The single room was a bit small but comfy I stayed on the 8th floor but the elevator only went to the 7th",25,6539,"The property is centrally located very close to Kensington park",12,3,8.8
"8/14/2016",8.6,"The Tower A Guoman Hotel","United Kingdom","The cleaner coming in to the room before I could answer the door I was stood there in my pants",21,3486,"The whole trip was great The hotel is in a good spot for London next to the river",20,1,8.8
"2/28/2017",8.5,"Swiss tel Amsterdam","Saudi Arabia","The bed was a bit uncomfortable and the pillows had no neck support whatsoever I called the reception to request extra pillows but they said they were out I had to make do with folding the pillows several times to sleep comfortably",43,2756,"The location of the hotel was AMAZING Litterally a few steps from Dam square and surrounded by restaurants caf s museums and many attractions Madam Tussaud s and the Amsterdam Dungeon is exactly 3 minutes away The staff were very helpful friendly and went way and beyond to make us feel welcome",54,6,9.6
"7/8/2017",8.5,"Thistle Holborn The Kingsley","United States of America","No Negative",0,1593,"The room was pleasant and larger than the average London hotel room",14,3,10
"12/1/2015",8.1,"Avo Hotel","United Kingdom","No Negative",0,276,"Clean and new facilities",5,18,7.5
"1/11/2017",8.5,"Hotel Regina","Romania","No Negative",0,2775,"the staff were amazing good quality and spacious room with nice view great location and super price",18,2,10
"2/15/2017",8.3,"Novotel London West","United Kingdom","Too far out of town",6,2443,"Warm friendly staff",4,1,9.2
"3/27/2017",7.5,"Atahotel Contessa Jolanda","China","No Negative",0,1559,"break first",3,1,5.8
"12/30/2015",8.1,"Strand Palace Hotel","United Kingdom","No Negative",0,9568,"Very good we enjoyed a very pleasant and quiet stay",12,1,10
"2/25/2016",8,"Suite Hotel 900 m zur Oper","Czech Republic","I have no idea what I could ask for in a small family hotel",16,3461,"The room was very quiet facing the yard but that s what we asked for I enjoyed a cup of tea in bed as there are coffee tea facilities and microwave oven in the room Breakfast was tasty not such variety as in big 4 hotels but it was OK and cappuccino was very good The location for Theatre an der Wien is walking distance there are even closer hotels but more expensive It is just 5 minutes from the subway U1 the tram even closer that takes you everywhere",92,7,8.3
"2/9/2016",8.5,"Hotel Regina","Turkey","A little faster elevators could help a lot",10,2775,"Great location and large rooms with comfort",9,16,9.6
"2/16/2016",8.3,"Twenty Nevern Square Hotel","Israel","The rooms are too small",6,1719,"good location nice staff",5,1,7.5
"4/8/2017",9.3,"Mill sime H tel","United Kingdom","Be aware the check in is not on time It should be 2pm onwards but we could first check in after 4pm They even needed to change our room as otherwise we could have waited even longer Also mixed up the luggages that were given on hold",49,656,"Clean fantastic location Very good value",8,3,9.2
"9/25/2016",8.1,"Starhotels Business Palace","United Kingdom","It is supposed to be a business hotel but don t have an iron for personal use If you arrive on a Sunday evening is better you have your shirt still intact",34,5265,"Quite room and good bed",6,17,6.3
"2/28/2016",8.5,"The Mandeville Hotel","United Kingdom","I can imagine if I were staying in the double room I was in as part of a couple it would feel a bit small But it s a central London hotel so I suppose I d expect it Also no lock on the bathroom door which just felt a bit weird to me",56,2300,"The staff were friendly The room service dinner I ordered was delicious",14,1,10
"5/30/2016",7.6,"Expo Hotel Barcelona","Netherlands","Quality was okay but not good enough for the price we paid and the number of stars the hotel receives Almost everything in the hotel except for the lobby is outdated The bed and linen are of very poor quality the bedstead was in shambles and the linen consisted of a few dusty old blankets Staff were friendly yet in my view neither really organized nor really focused on the customer Overall the hotel was probably very good back in the 1970s or 1980s but is now in desperate need of refurbishing",94,4646,"Good location and connection to public transport",9,3,4.6
"4/24/2016",9.4,"Intercontinental London The O2","United Kingdom","Couldn t fault anything more than happy with the facilities staff and room",14,4204,"Everything From the staff to the room everything was lovely",11,2,10
"10/27/2015",8.1,"Novotel Wien City","Germany","No Negative",0,1632,"Near to the Strassenbahn Station Had a late check out by free of Charge only for Sunday for Family use",22,14,9.6
"4/22/2017",7.7,"Belfast","Switzerland","Slow internet",3,337,"No Positive",0,8,5.4
"8/4/2015",8.2,"Ramada Apollo Amsterdam Centre","Australia","The staff in the restaurant area were not very welcoming",12,5770,"great value for money",5,1,9.6
"3/27/2017",8.6,"NH Collection Amsterdam Barbizon Palace","United Kingdom","Breakfast A disappointing experience that is overpriced tasteless dry cold and serviced by staff who would rather still be in bed I cannot find anything nice to say about the most important meal of the day",38,2865,"If you are visiting Bath then this hotel is great as it is in the centre of the City easy to access by car with parking just under the hotel",32,26,7.1
"7/23/2017",8.7,"Grange Tower Bridge Hotel","United Kingdom","A bit pricey",4,1668,"Excellent large room",4,29,9.2
"3/20/2016",8.7,"Park Plaza Westminster Bridge London","United Kingdom","Nothing",2,12158,"Staff room comfort beds food and location",8,21,9.6
"8/6/2016",8.2,"The Queens Gate Hotel","United Kingdom","No Negative",0,2516,"Appreciated the air conditioning the absence of traffic noise and stylish if not huge room Excellent location close to the Royal Albert Hall Natural History Museum Science Museum V A and Hyde Park",35,1,9.2
"10/10/2015",8,"Crowne Plaza Paris R publique","United Kingdom","Scaffolding for a view and being woken up at 5am by a demonstration in the square",18,1053,"Close to amenities and the staff were wonderful",10,1,7.9
"7/16/2016",8.9,"NH Collection Wien Zentrum","United Arab Emirates","Parking you have to pay 20 euro for each day Unfriendly staff during check in",17,1887,"Great location Clean rooms Nice furniture",8,4,7.1
"11/20/2016",9,"Hilton London Canary Wharf","Ireland","No Negative",0,3040,"Photos don t do it complete justice The location is lovely by the water The staff were professional efficient caring and really friendly and helpful Stephanie on reception looked after us especially well Izzy the duty manager organised a surprise birthday cake for my nephew Breakfast was wonderful They had forgotten nothing Very caring I recommend this highly",60,5,10
"6/27/2017",9.3,"The Ned","United Kingdom","As I mentioned above the room was a tad dark",11,517,"I liked everything apart from I know I m knit picking but I could do with brighter lighting in the room I could hardly see at all But it wouldn t stop me from staying here again",38,67,10
"7/26/2016",8.6,"Novotel London Greenwich","United Kingdom","No Negative",0,924,"Excellent staff Great location Gym",7,54,10
"4/27/2017",8.9,"The Westbourne Hyde Park","Qatar","Only provided water on the first night",9,716,"Very new modern and clean",6,1,8.8
"8/2/2016",8.3,"Holiday Inn London Wembley","United Kingdom","Overpriced for location",4,3469,"Staff friendliness",3,1,7.5
"6/12/2017",8.5,"Windsor Hotel Milano","Romania","The window of the room does not open The double bed is made up of two mattresses The bathroom is small and we didn t have shampoo only shower gel and soap At the breakfast you have to ask for coffee to the staff and they are not so helpful",52,2601,"The room is nice and the bed linen is good quality also the towels are of good quality",20,19,7.5
"5/3/2017",8.1,"Park Grand Paddington Court","Bulgaria","Sub level floor",4,6608,"No Positive",0,6,5.4
"2/16/2017",9.4,"Catalonia Magdalenes","United Kingdom","No Negative",0,1108,"Fantastic location Very attentive staff Great value and the tapas was a lovely touch Will stay again",19,11,10
"1/31/2017",8.9,"Vincci Gala","Russia","No Negative",0,913,"Attractive location near city centre modern rooms",8,36,8.8
"5/10/2016",7.8,"Millennium Hotel London Mayfair","United Kingdom","No Negative",0,3117,"Our room over looking the square Very friendly helpful receptionist",12,9,8.8
"7/24/2017",8.5,"H tel Waldorf Trocad ro","South Africa","Constant issues with hot water",6,338,"Loved the style and comfort Tidy area and great locatuon",11,1,8.8
"2/16/2016",8.6,"Mercure Amsterdam Sloterdijk Station","United Kingdom","Breakfast was very expensive",5,3643,"Room was beautiful Floor to ceiling Windows big TV large comfy bed and the nicest shower Loved it",19,2,10
"9/8/2016",8.7,"Aloft London Excel","United Kingdom","The showerheads are huge and heavy and twice slipped down and hit my partner on the head",19,2332,"Very clean staff where SO helpful the room was stylish and comfortable",13,1,9.6
"3/14/2016",8,"Axel Hotel Barcelona Urban Spa Adults Only","Canada","No luggage stand no comfy chair to sit in No night tables unable to make the room completely dark as even when all lights are off there is emergency lighting above the door that stays on",38,2694,"No Positive",0,1,8.3
"1/6/2016",9,"Grand Hotel Wien","Canada","Exorbitant charge for water",5,1375,"Friendly staff great location close to the opera and shopping",11,5,7.9
"4/21/2016",8.4,"Arioso","United Kingdom","Absolutely nothing it was excellent",6,218,"Wonderful boutique hotel very kind staff great location couldn t ask for more I will certainly be back and would recommend the hotel to anyone",26,1,10
"3/19/2016",7.7,"Best Western Plus Elys e Secret","Malaysia","No Negative",0,646,"The stuff is very helpful and friendly Especially Mr Lies Thanks for the call to the airport for my lagguge",22,3,10
"7/17/2017",8.1,"Best Western Hotel Major","Australia","The bed was ok but not a great hotel if you don t like firm",17,1107,"Staff were very helpfull with great restaurant recommendations brought to my room a kettle and tea set and iron board to use no charge They called us lots of taxis at different time all came in 3 to 8 min Air conditioner good and window opened if preferred Great location felt very safe and just steps to metro lots of restaurants and supermarket very close",67,1,8.3
"1/4/2017",8.7,"LaGare Hotel Milano Centrale MGallery by Sofitel","United Kingdom","No Negative",0,2678,"Modern hotel with good facilities",6,1,9.2
"11/14/2016",7.9,"Ambassadors Bloomsbury","United Kingdom","hair dryer did not work",6,1521,"great location to the city and train station very clean friendly staff",14,2,9.6
"10/23/2015",8.1,"The Trafalgar Hilton","United Kingdom","No Negative",0,784,"Staff very helpfull no request too much bother Absolutely loved the rooftop bar pricey cocktails but worth it for the views",23,1,9.6
"6/17/2017",7.7,"Shaftesbury Metropolis London Hyde Park","United Kingdom","Wvwrything",2,2867,"Very comfortable London hotel will book again",8,3,10
"4/28/2017",8.5,"Amba Hotel Marble Arch","Kuwait","No Negative",0,3980,"Excellent location",3,2,9.6
"2/21/2017",9.3,"Hilton London Bankside","Russia","no default minibar in the room only for charge in advance for the whole set of products in minibar unclean towels shower in the bath w o any water protective device like glass door or special curtain so that everything in the bathroom was wet after shower no toilet brush no shoehorn no euro adapters for sockets",58,2319,"perfect restaurant breakfasts and dinners were delicious not bad location in the center near to the metro station iron in the room complimentary water",25,7,4.6
"9/15/2016",7.9,"Ambassadors Bloomsbury","Australia","Bed was uncomfortable",4,1521,"Great location and value for London",7,3,7.5
"12/29/2016",8.5,"Swiss tel Amsterdam","Saudi Arabia","The bed",3,2756,"Staff and location",4,11,7.5
"4/9/2017",7.6,"Expo Hotel Barcelona","United States of America","No Negative",0,4646,"Nathing",2,2,2.5
"3/28/2016",8,"Best Western Mornington Hotel Hyde Park","United Kingdom","Parking difficult expensive",4,2418,"Room set out well Staff very friendly and attentive",11,3,8.8
"10/20/2016",8.6,"Austria Trend Parkhotel Sch nbrunn Wien","Switzerland","No Negative",0,4026,"good location nice reception",5,1,10
"8/21/2016",8.8,"D clic Hotel","Netherlands","No Negative",0,360,"Great staff very friendly Really cool rooms with funky decor Excellent value for money and close to everything you d want as a tourist",26,30,10
"3/29/2016",9,"Hilton London Canary Wharf","United Kingdom","No Negative",0,3040,"Very well appointed spacious comfortable rooms",7,4,9.6
"9/25/2016",8.9,"London Marriott Hotel West India Quay","United Kingdom","No Negative",0,2836,"Loved the view over the water Lovely spacious room",11,3,10
"6/11/2017",9.6,"H10 Casa Mimosa 4 Sup","United Kingdom","Just a few minor niggles The air conditioning keep resetting to default in the night which was too hot We heard the restaurant staff quite early as our room was next the atrium wall",35,454,"Locacation that it had a garden and that our room had its own private terrace Staff were excellent",20,1,10
"11/29/2015",8.4,"Park Plaza County Hall London","Canada","Much further from train station than anticipated one say room was not cleaned completely but once discovered staff were speedy in rectifying situation",25,6117,"Staff were lovely and it was close to parliament",11,11,6.7
"10/10/2016",8,"Rafayel Hotel Spa","Saudi Arabia","There was no instructor in the gym plus some of gym facilities were out of order",18,1378,"Stuff hospitality they were friendly cooperative and sooo humble Nabeel Fahad Taqi Aga Fich Farhan and the French girl can t remember her name",26,8,9.6
"2/20/2017",8.5,"Novotel Paris Gare De Lyon","United Kingdom","No Negative",0,3583,"Top value practical hotel ideally located for Gare de Lyon travellers and pretty handy for anyone else too",20,43,9.2
"7/15/2017",8.9,"Starhotels Echo","Australia","No Negative",0,3774,"Great hotel Will not be disappointed",7,9,10
"8/9/2016",9.3,"Room Mate Giulia","Lebanon","No Negative",0,2011,"One of the top hotels I ve been to in Europe Great staff very clean loved the ambiance of the hotel Would definitely go there again AND it s right next to the duomo",36,2,10
"5/31/2016",8.9,"Novotel London Wembley","United Kingdom","A few dirty stains on the carpet apart from that very clean",14,2924,"Loved how close it was to the tubes and wembley stadium",13,1,9.6
"5/14/2016",8.4,"Bentley London","United Kingdom","Room Temperature fan control comfort was too noisy unable to get proper balance between too hot too cold The TV reception on some channels poor the choice of channels also disappointing",33,486,"Staff in general very helpful",7,7,7.1
"5/31/2016",8.3,"Mercure London Bloomsbury Hotel","Australia","The first room we were allocated was tiny and we had to pay extra for a slightly larger room Fire doors at the lift make it difficult to get cases in and out",35,1361,"The staff at reception were friendly and helpful",10,2,6.7
"3/22/2016",8.8,"TWO Hotel Barcelona by Axel 4 Sup Adults Only","Netherlands","not really a gay hotel at least 90 of the guests were straight",14,2336,"Fantastic breakfast but like in the whole of Spain no decent bread nice interior",15,12,10
"10/20/2015",7.8,"Acevi Villarroel","United Kingdom","No Negative",0,2251,"Room and facilities excellent Room very modern and clean The bath is great",15,1,10
"7/18/2017",8.6,"The Rockwell","Australia","Bathrooms are very small especially the shower though the products in there were lovely Nowhere to put suitcases in the room so had to walk over them to get to the bed but London hotel rooms are always small",41,1470,"Very cool hotel Lovely garden out the back for breakfast and drinks Peaceful and quiet inside despite being on a very busy road Position fantastic for Earls Court Tube and we could walk to Kensington Gardens Many inexpensive restaurants nearby Happy to store our luggage we left cases for a week while on a quick trip to Scandinavia then returned to the hotel for 2 more nights Would definitely recommend the Rockwell to friends",76,1,10
"9/22/2015",8.3,"The Grand at Trafalgar Square","United Kingdom","No Negative",0,1592,"Easy check in room was ready early Fantastic location close to lots of things Staff really helpful Rooms really comfortable with king size bed Would stay here again",30,2,10
"5/31/2016",8.4,"The May Fair Hotel","Ireland","No Negative",0,1994,"The beds are amazing as was the bathroom and our sheets were changed every day",17,5,10
"1/17/2017",8.8,"Hotel Bachaumont","United Kingdom","More coffee cups in room there was only one big one",13,625,"No Positive",0,2,8.8
"6/13/2016",8.8,"Amp re","Germany","Pricey breakfast",3,998,"Superb location Numerous restaurants and metro just a short walk from the hotel We have stayed here twice and it s a gem",25,12,9.2
"7/31/2016",8.6,"Art Hotel Navigli","Canada","Hotel was very hard to find at first as it is tucked away in a no driving zone and the directions provided were confusing We had to park a distance away and walk to find the hotel and then have them explain to us exactly how to drive there",51,3636,"Nice hotel interesting area close to lots of good restaurants and shops Breakfast buffet was good and the complimentary snacks and drink in the early evening was a nice touch Secure underground parking is a bonus and the hotel is fairly close to good transportation to downtown and other popular areas to visit",55,18,8.8
"7/2/2017",7.6,"Best Western Op ra Batignolles","United States of America","Small room Breakfast wasn t the best Our second day after cleaning the room they left us without towels or toilet paper",24,859,"Was in a nice neighborhood",6,8,6.7
"9/8/2016",6.9,"Idea Hotel Milano San Siro","United Kingdom","Location in some dodgy industrial area entered the car park I had some guy follow me on a bike telling me don t park here it s dangerous which he then showed me a spot near the hotel entrance and charged me 10 the car park was 8",50,5742,"Being close to the motor way",7,1,3.8
"7/17/2017",9.2,"Hotel Berna","Sweden","No Negative",0,4017,"I really enjoyed everything with the hotel unfortunately we only had a very short stay",16,33,8.8
"9/29/2015",8,"The Principal London","United Kingdom",NA,2,3150,"Lovely staff lovely hotel No hassle at all",10,2,10
"9/19/2015",8.5,"Clayton Hotel Chiswick","New Zealand","No Negative",0,1944,"We had an incident that happened just outside the hotel The management and staff went above and beyond to help We would definitely stay again when back in England",31,1,10
"8/11/2016",8.3,"Park Plaza London Riverbank","United Kingdom","No Negative",0,4684,"Upgraded to a river view which wasn t worth the extra 45 a night one of the doors was coming off on a cupboard The food though is excellent but beware I bought two Rum and Cokes and wh n the bill came I nearly fell off my chair 10 each it s 2 50 in my local",59,39,7.5
